,CustomerID,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMClass,RFM_Segment,Cluster
0,12346.0,326,1,77183.6,4,4,1,441,High Spenders,0
1,12347.0,2,182,4310.0,1,1,1,111,Top Tier,1
2,12348.0,75,31,1797.24,3,3,1,331,High Spenders,1
3,12349.0,19,73,1757.55,2,2,1,221,High Spenders,1
4,12350.0,310,17,334.4,4,4,3,443,Other,0
5,12352.0,36,85,2506.04,2,2,1,221,High Spenders,1
6,12353.0,204,4,89.0,4,4,4,444,Inactive and Unlikely to Return,0
7,12354.0,232,58,1079.4,4,2,2,422,Other,0
8,12355.0,214,13,459.4,4,4,3,443,Other,0
9,12356.0,23,59,2811.43,2,2,1,221,High Spenders,1
10,12357.0,33,131,6207.67,2,1,1,211,Loyal Customers,1
11,12358.0,2,19,1168.06,1,3,2,132,Other,1
12,12359.0,58,245,6310.03,3,1,1,311,Loyal Customers,1
13,12360.0,52,129,2662.06,3,1,1,311,Loyal Customers,1
14,12361.0,287,10,189.9,4,4,4,444,Inactive and Unlikely to Return,0
15,12362.0,3,266,5226.23,1,1,1,111,Top Tier,1
16,12363.0,110,23,552.0,3,3,3,333,Other,1
17,12364.0,8,85,1313.1,1,2,2,122,Other,1
18,12365.0,291,22,641.38,4,3,3,433,Other,0
19,12367.0,4,11,168.9,1,4,4,144,Other,1
20,12370.0,51,166,3541.94,2,1,1,211,Loyal Customers,1
21,12371.0,45,63,1887.96,2,2,1,221,High Spenders,1
22,12372.0,72,52,1298.04,3,2,2,322,Inactive But Potentially Returning,1
23,12373.0,311,14,364.6,4,4,3,443,Other,0
24,12374.0,25,33,742.9300000000001,2,3,2,232,Other,1
25,12375.0,11,17,457.5,1,4,3,143,Other,1
26,12377.0,315,77,1628.12,4,2,2,422,Other,0
27,12378.0,130,219,4008.62,3,1,1,311,Loyal Customers,1
28,12379.0,82,40,852.24,3,3,2,332,Other,1
29,12380.0,22,104,2724.81,2,1,1,211,Loyal Customers,1
30,12381.0,5,87,1845.31,1,2,1,121,High Spenders,1
31,12383.0,185,99,1850.56,4,1,1,411,Loyal Customers,0
32,12384.0,29,27,585.27,2,3,3,233,Other,1
33,12386.0,338,10,401.9,4,4,3,443,Other,0
34,12388.0,16,100,2780.66,1,1,1,111,Top Tier,1
35,12390.0,80,32,549.84,3,3,3,333,Other,1
36,12391.0,22,93,439.66,2,2,3,223,Other,1
37,12393.0,72,64,1582.6000000000001,3,2,2,322,Inactive But Potentially Returning,1
38,12394.0,64,27,1272.48,3,3,2,332,Other,1
39,12395.0,19,156,3018.63,2,1,1,211,Loyal Customers,1
40,12397.0,36,126,2409.9,2,1,1,211,Loyal Customers,1
41,12398.0,46,85,1635.6599999999999,2,2,2,222,Other,1
42,12399.0,119,59,1108.65,3,2,2,322,Inactive But Potentially Returning,1
43,12401.0,303,5,84.3,4,4,4,444,Inactive and Unlikely to Return,0
44,12402.0,323,11,225.6,4,4,4,444,Inactive and Unlikely to Return,0
45,12403.0,50,5,427.7,2,4,3,243,Other,1
46,12405.0,149,54,1710.39,4,2,1,421,High Spenders,0
47,12406.0,22,105,3415.3,2,1,1,211,Loyal Customers,1
48,12407.0,50,77,1708.1200000000001,2,2,1,221,High Spenders,1
49,12408.0,33,105,2888.55,2,1,1,211,Loyal Customers,1
50,12409.0,79,109,11072.67,3,1,1,311,Loyal Customers,1
51,12410.0,309,26,693.3299999999999,4,3,2,432,Other,0
52,12412.0,75,61,1226.88,3,2,2,322,Inactive But Potentially Returning,1
53,12413.0,67,38,758.1,3,3,2,332,Other,1
54,12414.0,217,18,562.41,4,3,3,433,Other,0
55,12415.0,24,716,124914.53,2,1,1,211,Loyal Customers,2
56,12417.0,3,192,3649.1,1,1,1,111,Top Tier,1
57,12418.0,113,34,668.58,3,3,2,332,Other,1
58,12420.0,64,29,600.39,3,3,3,333,Other,1
59,12421.0,16,45,807.04,1,2,2,122,Other,1
60,12422.0,96,39,803.5600000000001,3,3,2,332,Other,1
61,12423.0,1,125,1859.31,1,1,1,111,Top Tier,1
62,12424.0,163,30,1760.96,4,3,1,431,High Spenders,0
63,12425.0,78,36,777.2,3,3,2,332,Other,1
64,12426.0,195,30,582.73,4,3,3,433,Other,0
65,12427.0,22,31,825.8,2,3,2,232,Other,1
66,12428.0,26,294,7956.46,2,1,1,211,Loyal Customers,1
67,12429.0,9,97,3750.4,1,2,1,121,High Spenders,1
68,12430.0,43,11,256.4,2,4,4,244,Other,1
69,12431.0,36,235,6419.95,2,1,1,211,Loyal Customers,1
70,12432.0,43,108,5059.32,2,1,1,211,Loyal Customers,1
71,12433.0,1,420,13375.87,1,1,1,111,Top Tier,1
72,12434.0,85,50,806.14,3,2,2,322,Inactive But Potentially Returning,1
73,12435.0,80,36,7829.89,3,3,1,331,High Spenders,1
74,12436.0,100,16,509.01,3,4,3,343,Other,1
75,12437.0,2,200,4951.41,1,1,1,111,Top Tier,1
76,12438.0,14,98,2906.85,1,2,1,121,High Spenders,1
77,12441.0,367,11,173.55,4,4,4,444,Inactive and Unlikely to Return,0
78,12442.0,3,12,172.06,1,4,4,144,Other,1
79,12444.0,21,177,5005.46,2,1,1,211,Loyal Customers,1
80,12445.0,22,4,133.4,2,4,4,244,Other,1
81,12446.0,58,58,1002.3100000000001,3,2,2,322,Inactive But Potentially Returning,1
82,12447.0,243,26,476.49,4,3,3,433,Other,0
83,12448.0,44,22,449.45,2,3,3,233,Other,1
84,12449.0,22,191,4067.29,2,1,1,211,Loyal Customers,1
85,12450.0,156,8,197.88,4,4,4,444,Inactive and Unlikely to Return,0
86,12451.0,11,354,9035.52,1,1,1,111,Top Tier,1
87,12452.0,17,22,430.57,1,3,3,133,Other,1
88,12453.0,134,43,707.09,3,2,2,322,Inactive But Potentially Returning,1
89,12454.0,56,15,3528.34,3,4,1,341,High Spenders,1
90,12455.0,73,90,2466.86,3,2,1,321,High Spenders,1
91,12456.0,44,125,3181.04,2,1,1,211,Loyal Customers,1
92,12457.0,66,63,2363.23,3,2,1,321,High Spenders,1
93,12458.0,71,38,947.4,3,3,2,332,Other,1
94,12461.0,94,35,826.88,3,3,2,332,Other,1
95,12462.0,19,62,1189.59,2,2,2,222,Other,1
96,12463.0,53,83,1344.78,3,2,2,322,Inactive But Potentially Returning,1
97,12464.0,10,29,1212.05,1,3,2,132,Other,1
98,12465.0,17,47,742.1899999999999,1,2,2,122,Other,1
99,12468.0,188,38,729.5400000000001,4,3,2,432,Other,0
100,12471.0,2,459,19788.65,1,1,1,111,Top Tier,1
101,12472.0,32,339,6572.11,2,1,1,211,Loyal Customers,1
102,12473.0,29,167,3928.0499999999997,2,1,1,211,Loyal Customers,1
103,12474.0,17,422,7324.09,1,1,1,111,Top Tier,1
104,12475.0,54,36,723.38,3,3,2,332,Other,1
105,12476.0,16,233,6816.42,1,1,1,111,Top Tier,1
106,12477.0,23,300,13219.74,2,1,1,211,Loyal Customers,1
107,12478.0,4,36,680.99,1,3,2,132,Other,1
108,12479.0,11,31,527.2,1,3,3,133,Other,1
109,12480.0,28,154,3281.63,2,1,1,211,Loyal Customers,1
110,12481.0,23,216,5579.82,2,1,1,211,Loyal Customers,1
111,12483.0,17,75,2484.98,1,2,1,121,High Spenders,1
112,12484.0,33,343,4527.32,2,1,1,211,Loyal Customers,1
113,12488.0,10,55,1298.66,1,2,2,122,Other,1
114,12489.0,336,15,334.93,4,4,3,443,Other,0
115,12490.0,5,245,5417.93,1,1,1,111,Top Tier,1
116,12491.0,39,26,460.40000000000003,2,3,3,233,Other,1
117,12492.0,63,20,263.21000000000004,3,3,4,334,Other,1
118,12493.0,166,22,433.74,4,3,3,433,Other,0
119,12494.0,16,77,1246.1000000000001,1,2,2,122,Other,1
120,12497.0,82,14,1043.1,3,4,2,342,Other,1
121,12498.0,21,23,403.70000000000005,2,3,3,233,Other,1
122,12500.0,23,61,4257.82,2,2,1,221,High Spenders,1
123,12501.0,337,149,2169.39,4,1,1,411,Loyal Customers,0
124,12502.0,96,147,3723.87,3,1,1,311,Loyal Customers,1
125,12504.0,18,9,482.04999999999995,1,4,3,143,Other,1
126,12506.0,233,23,73.5,4,3,4,434,Other,0
127,12507.0,134,22,1304.81,3,3,2,332,Other,1
128,12508.0,26,68,397.88,2,2,3,223,Other,1
129,12509.0,284,7,176.5,4,4,4,444,Inactive and Unlikely to Return,0
130,12510.0,143,33,982.5699999999999,4,3,2,432,Other,0
131,12512.0,66,31,132.18,3,3,4,334,Other,1
132,12513.0,113,35,612.29,3,3,3,333,Other,1
133,12514.0,267,51,1017.68,4,2,2,422,Other,0
134,12515.0,353,16,383.7,4,4,3,443,Other,0
135,12516.0,78,26,1312.06,3,3,2,332,Other,1
136,12517.0,28,279,2481.6,2,1,1,211,Loyal Customers,1
137,12518.0,1,124,2056.89,1,1,1,111,Top Tier,1
138,12519.0,64,17,330.84,3,4,3,343,Other,1
139,12520.0,79,152,2634.26,3,1,1,311,Loyal Customers,1
140,12521.0,143,38,599.68,4,3,3,433,Other,0
141,12522.0,39,12,192.72,2,4,4,244,Other,1
142,12523.0,19,106,1789.77,2,1,1,211,Loyal Customers,1
143,12524.0,9,144,4485.72,1,1,1,111,Top Tier,1
144,12526.0,1,71,1316.66,1,2,2,122,Other,1
145,12527.0,82,18,348.71000000000004,3,3,3,333,Other,1
146,12528.0,9,92,1933.48,1,2,1,121,High Spenders,1
147,12530.0,60,66,1662.28,3,2,1,321,High Spenders,1
148,12531.0,15,17,125.22,1,4,4,144,Other,1
149,12532.0,30,16,349.83000000000004,2,4,3,243,Other,1
150,12534.0,131,63,1089.18,3,2,2,322,Inactive But Potentially Returning,1
151,12535.0,92,34,716.35,3,3,2,332,Other,1
152,12536.0,43,261,12601.830000000002,2,1,1,211,Loyal Customers,1
153,12538.0,29,21,363.95,2,3,3,233,Other,1
