,Recency,Frequency,Monetary
0,326,1,77183.6
1,2,182,4310.0
2,75,31,1797.24
3,19,73,1757.55
4,310,17,334.4
5,36,85,2506.04
6,204,4,89.0
7,232,58,1079.4
8,214,13,459.4
9,23,59,2811.43
10,33,131,6207.67
11,2,19,1168.06
12,58,245,6310.03
13,52,129,2662.06
14,287,10,189.9
15,3,266,5226.23
16,110,23,552.0
17,8,85,1313.1
18,291,22,641.38
19,4,11,168.9
20,51,166,3541.94
21,45,63,1887.96
22,72,52,1298.04
23,311,14,364.6
24,25,33,742.9300000000001
25,11,17,457.5
26,315,77,1628.12
27,130,219,4008.62
28,82,40,852.24
29,22,104,2724.81
30,5,87,1845.31
31,185,99,1850.56
32,29,27,585.27
33,338,10,401.9
34,16,100,2780.66
35,80,32,549.84
36,22,93,439.66
37,72,64,1582.6000000000001
38,64,27,1272.48
39,19,156,3018.63
40,36,126,2409.9
41,46,85,1635.6599999999999
42,119,59,1108.65
43,303,5,84.3
44,323,11,225.6
45,50,5,427.7
46,149,54,1710.39
47,22,105,3415.3
48,50,77,1708.1200000000001
49,33,105,2888.55
50,79,109,11072.67
51,309,26,693.3299999999999
52,75,61,1226.88
53,67,38,758.1
54,217,18,562.41
55,24,716,124914.53
56,3,192,3649.1
57,113,34,668.58
58,64,29,600.39
59,16,45,807.04
60,96,39,803.5600000000001
61,1,125,1859.31
62,163,30,1760.96
63,78,36,777.2
64,195,30,582.73
65,22,31,825.8
66,26,294,7956.46
67,9,97,3750.4
68,43,11,256.4
69,36,235,6419.95
70,43,108,5059.32
71,1,420,13375.87
72,85,50,806.14
73,80,36,7829.89
74,100,16,509.01
75,2,200,4951.41
76,14,98,2906.85
77,367,11,173.55
78,3,12,172.06
79,21,177,5005.46
80,22,4,133.4
81,58,58,1002.3100000000001
82,243,26,476.49
83,44,22,449.45
84,22,191,4067.29
85,156,8,197.88
86,11,354,9035.52
87,17,22,430.57
88,134,43,707.09
89,56,15,3528.34
90,73,90,2466.86
91,44,125,3181.04
92,66,63,2363.23
93,71,38,947.4
94,94,35,826.88
95,19,62,1189.59
96,53,83,1344.78
97,10,29,1212.05
98,17,47,742.1899999999999
99,188,38,729.5400000000001
100,2,459,19788.65
101,32,339,6572.11
102,29,167,3928.0499999999997
103,17,422,7324.09
104,54,36,723.38
105,16,233,6816.42
106,23,300,13219.74
107,4,36,680.99
108,11,31,527.2
109,28,154,3281.63
110,23,216,5579.82
111,17,75,2484.98
